,pmid,title,author,pubdate,keywords,prob,pmcid,table_info
25,29457840,Population pharmacokinetics and pharmacogenomics of apixaban in Japanese adult patients with atrial fibrillation.,S Ueshima; D Hira; Y Kimura; R Fujii; C Tomitsuka; T Yamane; Y Tabuchi; T Ozawa; H Itoh; S Ohno; M Horie; T Terada; T Katsura,2018,cytochrome P450; drug transporters; genetic polymorphism; pharmacogenomics; population analysis,0.9895129799842834,PMC5980466,
26,29472495,Apixaban and Rosuvas--tatin Pharmacokinetics in Nonalcoholic Fatty Liver Disease.,RG Tirona; Z Kassam; R Strapp; M Ramu; C Zhu; M Liu; UI Schwarz; RB Kim; B Al-Judaibi; MD Beaton,2018,,0.9892714023590088,,
27,25377242,"Effect of ketoconazole and diltiazem on the pharmacokinetics of apixaban, an oral direct factor Xa inhibitor.",CE Frost; W Byon; Y Song; J Wang; AE Schuster; RA Boyd; D Zhang; Z Yu; C Dias; A Shenker; F LaCreta,2015,CYP3A4 inhibitors; P-glycoprotein inhibitors; anticoagulants; apixaban; drug-drug interactions,0.9871531128883362,PMC4415720,
28,27292282,Evaluation of Crushed Tablet for Oral Administration and the Effect of Food on Apixaban Pharmacokinetics in Healthy Adults.,Y Song; M Chang; A Suzuki; RJ Frost; A Kelly; F LaCreta; C Frost,2016,apixaban; bioavailability; crushed tablet; food effect; formulation; stability,0.9865146279335022,,
29,34256392,Pharmacokinetics of direct oral anticoagulants in emergency situations - Results of the prospective observational RADOA-registry.,E Lindhoff-Last; I Birschmann; J Kuhn; S Lindau; S Konstantinides; O Grottke; U Nowak-Göttl; J Lucks; B Zydek; C von Heymann; A Sümnig; J Beyer-Westendorf; S Schellong; P Meybohm; A Greinacher; E Herrmann,2021,,0.9855389595031738,PMC9113852,PK - None | Study Population - Table 1
30,30564584,Pharmacokinetics and Pharmacodynamics of an Oral Formulation of Apixaban in Horses After Oral and Intravenous Administration.,PBS Serpa; MB Brooks; T Divers; S Ness; I Birschmann; MG Papich; T Stokol,2018,EHV-1; direct oral anticoagulant; equine; factor Xa; platelet activation,0.9855324625968933,PMC6288471,PK - Table 1 | Study Population - None
31,29296829,"Safety, pharmacokinetics, and reversal of apixaban anticoagulation with andexanet alfa.",D Siegal; G Lu; JM Leeds; M Karbarz; J Castillo; V Mathur; A Hutchaleelaha; U Sinha; M Kitt; M McClure; SJ Hollenbach; JT Curnutte; PB Conley; M Crowther,2017,,0.9853546619415283,PMC5728098,
32,28805299,Dissociation between the pharmacokinetics and pharmacodynamics of once-daily rivaroxaban and twice-daily apixaban: a randomized crossover study.,R Kreutz; PB Persson; D Kubitza; K Thelen; S Heitmeier; S Schwers; M Becka; M Hemmrich,2017,activated partial thromboplastin time; apixaban; direct factor Xa inhibitors; prothrombin time; rivaroxaban; thrombin generation,0.9837257266044617,,
33,19851712,"Metabolism, pharmacokinetics and pharmacodynamics of the factor Xa inhibitor apixaban in rabbits.",D Zhang; K He; N Raghavan; L Wang; EJ Crain; B He; B Xin; JM Luettgen; PC Wong,2010,,0.983302652835846,,
34,18832478,Apixaban metabolism and pharmacokinetics after oral administration to humans.,N Raghavan; CE Frost; Z Yu; K He; H Zhang; WG Humphreys; D Pinto; S Chen; S Bonacorsi; PC Wong; D Zhang,2009,,0.9783099889755249,,
35,32316515,Interindividual Variability of Apixaban Plasma Concentrations: Influence of Clinical and Genetic Factors in a Real-Life Cohort of Atrial Fibrillation Patients.,AN Roşian; ŞH Roşian; B Kiss; MG Ştefan; AP Trifa; CD Ober; O Anchidin; AD Buzoianu,2020,ABCB1; P-glycoprotein; apixaban; n/a; non-valvular atrial fibrillation,0.978059709072113,PMC7230214,PK - None | Study Population - Table 1
36,23499913,Rapid determination of apixaban concentration in human plasma by liquid chromatography/tandem mass spectrometry: application to pharmacokinetic study.,X Delavenne; P Mismetti; T Basset,2013,,0.9747651815414429,,
37,32007354,Factor Xa inhibitors in clinical practice: Comparison of pharmacokinetic profiles.,E Goto; S Horinaka; T Ishimitsu; T Kato,2020,Apixaban; Atrial fibrillation; Edoxaban; Plasma concentration; Population pharmacokinetics; Rivaroxaban; Venous thromboembolism; anti-FXa activity,0.9729199409484863,,
38,34046920,Pharmacokinetics and pharmacodynamics of intravenous and oral apixaban in horses.,GE Wallace; VF McKaba; JM Reinhart; Z Li; S Austin; RC Fries,2021,Xa inhibitor; anti-thrombotic; clot; equine; oral anticoagulant,0.9725410342216492,,
39,33351142,Apixaban in patients on haemodialysis: a single-dose pharmacokinetics study.,I Van den Bosch; T Bouillon; P Verhamme; T Vanassche; M Jacquemin; M Coemans; D Kuypers; B Meijers,2021,DOAC; apixaban; dose-finding; haemodialysis; pharmacokinetics,0.9714102149009705,,
40,29578609,Regional Gastrointestinal Absorption of Apixaban in Healthy Subjects.,W Byon; S Nepal; AE Schuster; A Shenker; CE Frost,2018,Enterion capsule; absorption; apixaban; dissolution; pharmacokinetics,0.9693613648414612,,
41,26188837,Relative Bioavailability of Apixaban Solution or Crushed Tablet Formulations Administered by Mouth or Nasogastric Tube in Healthy Subjects.,Y Song; X Wang; I Perlstein; J Wang; S Badawy; C Frost; F LaCreta,2015,apixaban; bioavailability; crushed tablet; nasogastric tube,0.9691940546035767,,
42,33601935,"Cocrystals of Apixaban with Improved Solubility and Permeability: Formulation, Physicochemical Characterization, Pharmacokinetic Evaluation, and Computational Studies.",JR Madan; SV Waghmare; RB Patil; R Awasthi; K Dua,2021,cocrystal; diffusion; flux; oral delivery; permeability; solubility,0.9672712683677673,,
43,34333583,A liquid chromatography-tandem mass spectrometry method for the determination of apixaban in human plasma and its application to pharmacokinetics studies in the Indian population.,K Shaikh; A Mungantiwar; S Halde; N Pandita,2021,,0.9670535326004028,,
44,30259707,Population Pharmacokinetics of Apixaban in Subjects With Nonvalvular Atrial Fibrillation.,B Cirincione; K Kowalski; J Nielsen; A Roy; N Thanneer; W Byon; R Boyd; X Wang; T Leil; F LaCreta; T Ueno; M Oishi; C Frost,2018,,0.9550786018371582,PMC6263664,"PK - Table 3, Table 4 | Study Population - Table 2"
45,30411284,Serum Concentrations and Elimination Rates of Direct-Acting Oral Anticoagulants (DOACs) in Older Hip Fracture Patients Hospitalized for Surgery: A Pilot Study.,KK Viktil; I Lehre; AH Ranhoff; E Molden,2019,,0.9545273780822754,,
46,30421528,"Self-poisoning with 60 tablets of Apixaban, a pharmacokinetics case report.",B Franck; S Dulaurent; S El Balkhi; C Monchaud; N Picard; S Couderc; P Marquet; F Saint-Marcoux; JB Woillard,2019,,0.9542978405952454,PMC6303243,
47,28547774,"Population Pharmacokinetics, Pharmacodynamics, and Exploratory Exposure-Response Analyses of Apixaban in Subjects Treated for Venous Thromboembolism.",W Byon; K Sweeney; C Frost; RA Boyd,2017,,0.9511764645576477,PMC5445237,"PK - Table 4, Table 5 | Study Population - Table 3"
48,27384071,Apixaban Inhibits Cerebral Microembolic Signals Derived from Carotid Arterial Thrombosis in Rabbits.,X Zhou; W Wu; L Chu; DE Gutstein; D Seiffert; X Wang,2016,,0.9459189772605896,,
49,29572341,In Vitro Assessment of Pharmacokinetic Drug-Drug Interactions of Direct Oral Anticoagulants: Type 5-Phosphodiesterase Inhibitors Are Inhibitors of Rivaroxaban and Apixaban Efflux by P-Glycoprotein.,V Margelidon-Cozzolino; S Hodin; E Jacqueroux; O Delézay; L Bertoletti; X Delavenne,2018,,0.9358649849891663,,
50,33516188,Pharmacokinetics and dialytic clearance of apixaban during in vitro continuous renal replacement therapy.,L Andrews; S Benken; X Tan; E Wenzler,2021,Apixaban; CRRT; CVVH; CVVHD; Dialysis; Pharmacokinetics; Renal replacement therapy; Saturation coefficient; Sieving coefficient; Transmembrane clearance,0.933059811592102,PMC7847018,
51,30349887,Peak plasma concentration of direct oral anticoagulants in obese patients weighing over 120 kilograms: A retrospective study.,S Piran; H Traquair; N Chan; V Bhagirath; S Schulman,2018,anticoagulants; laboratories; obesity; pharmacology; thrombosis,0.9235969185829163,PMC6178753,
52,33948767,"Intranasal In Situ Gel of Apixaban-Loaded Nanoethosomes: Preparation, Optimization, and In Vivo Evaluation.",AA El-Shenawy; RA Mahmoud; EA Mahmoud; MS Mohamed,2021,Box-Behnken design; apixaban; ethosomes; in situ gel; in vivo study; nasal drug delivery,0.9057816863059998,,
53,26842561,Evaluation of a Heparin-Calibrated Antifactor Xa Assay for Measuring the Anticoagulant Effect of Oral Direct Xa Inhibitors.,J Beyer; T Trujillo; S Fisher; A Ko; SE Lind; TH Kiser,2016,anticoagulants; clinical pharmacology; factor Xa inhibitors,0.9033551216125488,,
54,28117916,Comparison of the Safety and Effectiveness of Apixaban versus Warfarin in Patients with Severe Renal Impairment.,BE Stanton; NS Barasch; KB Tellor,2017,anticoagulation; cardiology; dialysis; end-stage renal disease; renal failure,0.8994952440261841,,
55,24861792,"Direct oral anticoagulants--pharmacology, drug interactions, and side effects.",CE Dempfle,2014,,0.8990461826324463,,
56,27088780,"Response to Letter to the Editor From Drs. Stöllberger and Finsterer: Original Publication: ""Effect of Renal Impairment on the Pharmacokinetics, Pharmacodynamics, and Safety of Apixaban"".",C Frost; M Chang; Z Yu; A Shenker; J Wang; J Pursley; W Byon; RA Boyd; F LaCreta,2016,,0.8941017985343933,,
57,27436437,Anti-Xa activity in apixaban overdose: a case report.,J Barton; A Wong; A Graudins,2016,Factor Xa inhibitors; oral anticoagulants; toxicokinetics,0.8850546479225159,,
58,22398784,"A randomised assessment of the pharmacokinetic, pharmacodynamic and safety interaction between apixaban and enoxaparin in healthy subjects.",YC Barrett; J Wang; Y Song; J Pursley; P Wastall; R Wright; F Lacreta; C Frost,2012,,0.8832917809486389,,
59,31464657,Unexpected excessive apixaban exposure: case report of a patient with polymorphisms of multiple apixaban elimination pathways.,A Huppertz; C Grond-Ginsbach; C Dumschat; KI Foerster; J Burhenne; J Weiss; D Czock; JC Purrucker; T Rizos; WE Haefeli,2019,Apixaban; Direct oral anticoagulants; Neurology; Plasma concentration,0.8644559383392334,PMC6716843,
60,26236940,Meta-analysis on efficacy and safety of new oral anticoagulants for venous thromboembolism prophylaxis in overweight and obese postarthroplasty patients.,R Pathak; P Karmacharya; S Giri; DR Poudel; MR Aryal; VR Bhatt; FE Shamoun; A Pandit,2015,,0.8611031770706177,,
61,31236790,Population Pharmacokinetics and Pharmacodynamics of Apixaban Linking Its Plasma Concentration to Intrinsic Activated Coagulation Factor X Activity in Japanese Patients with Atrial Fibrillation.,S Ueshima; D Hira; C Tomitsuka; M Nomura; Y Kimura; T Yamane; Y Tabuchi; T Ozawa; H Itoh; M Horie; T Terada; T Katsura,2019,apixaban; cerebral infarction; heart failure; population pharmacokinetics and pharmacodynamics,0.8559682965278625,,
62,33528059,"Developing a physiologically based pharmacokinetic model of apixaban to predict scenarios of drug-drug interactions, renal impairment and paediatric populations.",R Xu; H Tang; L Chen; W Ge; J Yang,2021,apixaban; drug-drug interaction; paediatric; physiologically based pharmacokinetics; renal impairment,0.855470597743988,,
63,25229619,Model-based exposure-response analysis of apixaban to quantify bleeding risk in special populations of subjects undergoing orthopedic surgery.,TA Leil; C Frost; X Wang; M Pfister; F LaCreta,2014,,0.8419643044471741,PMC4211262,
64,30828771,Microdosed Cocktail of Three Oral Factor Xa Inhibitors to Evaluate Drug-Drug Interactions with Potential Perpetrator Drugs.,G Mikus; KI Foerster; M Schaumaeker; ML Lehmann; J Burhenne; WE Haefeli,2019,,0.8374788761138916,,
65,21318583,"Preclinical discovery of apixaban, a direct and orally bioavailable factor Xa inhibitor.",PC Wong; DJ Pinto; D Zhang,2011,,0.8323431611061096,PMC3090580,PK - Table 4 | Study Population - None
66,23809871,"Rivaroxaban and other novel oral anticoagulants: pharmacokinetics in healthy subjects, specific patient populations and relevance of coagulation monitoring.",W Mueck; S Schwers; J Stampfuss,2013,,0.8195756673812866,PMC3726366,"PK - Table 1, Table 3 | Study Population - None"
67,21516308,"Chromogenic laboratory assays to measure the factor Xa-inhibiting properties of apixaban--an oral, direct and selective factor Xa inhibitor.",RC Becker; H Yang; Y Barrett; P Mohan; J Wang; L Wallentin; JH Alexander,2011,,0.8113841414451599,,
68,26672898,Plasma levels of direct oral anticoagulants in real life patients with atrial fibrillation: Results observed in four anticoagulation clinics.,S Testa; A Tripodi; C Legnani; V Pengo; R Abbate; C Dellanoce; P Carraro; L Salomone; R Paniccia; O Paoletti; D Poli; G Palareti; ,2016,Anti-FXa; Creatinine clearance; DOAC; Dilute thrombin time; Inter-individual variability; Intra-individual variability,0.8105127811431885,,
69,31902123,Safety outcomes of apixaban in patients with nonvalvular atrial fibrillation and severe renal impairment.,MJ Jones; ST Eudaley; RA Moye; TA Hodge; RM Nesbit; AS Franks,2020,Anticoagulation; Apixaban; Atrial fibrillation; Direct oral anticoagulant; Renal function; Safety,0.8062571287155151,,
70,32801838,Real-World Analysis of Potential Pharmacokinetic and Pharmacodynamic Drug Interactions with Apixaban in Patients with Non-Valvular Atrial Fibrillation.,HA Badreldin; J Alghamdi; O Alshaya; A Alshehri; L Alreshoud; R Altoukhi; S Vasudevan; WW Ismail; MSA Mohamed,2020,apixaban; atrial fibrillation; drug interaction; pharmacodynamic; pharmacokinetic,0.8020101189613342,PMC7383111,
71,23386703,"Investigating the enteroenteric recirculation of apixaban, a factor Xa inhibitor: administration of activated charcoal to bile duct-cannulated rats and dogs receiving an intravenous dose and use of drug transporter knockout rats.",D Zhang; CE Frost; K He; AD Rodrigues; X Wang; L Wang; TC Goosen; WG Humphreys,2013,,0.8015575408935547,,
72,29577340,Safety and efficacy of apixaban versus warfarin in patients with end-stage renal disease: Meta-analysis.,R Chokesuwattanaskul; C Thongprayoon; T Tanawuttiwat; W Kaewput; P Pachariyanon; W Cheungpasitporn,2018,apixaban; atrial fibrillation; bleeding complication; meta-analysis; thromboembolic events; vitamin K antagonist; warfarin,0.7880529165267944,,
73,29395704,Personalized Anticoagulation: Guided Apixaban Dose Adjustment to Compensate for Pharmacokinetic Abnormalities Related to Short-Bowel Syndrome.,PT Pollak; GR Sun; RB Kim,2018,,0.7876176238059998,,
74,32055579,Quantification of apixaban in human plasma using ultra performance liquid chromatography coupled with tandem mass spectrometry.,HC Jeong; TE Kim; KH Shin,2019,Anticoagulant; Apixaban; Bioanalytical method; UPLC-MS/MS,0.7812234163284302,PMC6989270,PK - None | Study Population - None
75,28678049,"Impact of ABCB1, ABCG2, and CYP3A5 polymorphisms on plasma trough concentrations of apixaban in Japanese patients with atrial fibrillation.",S Ueshima; D Hira; R Fujii; Y Kimura; C Tomitsuka; T Yamane; Y Tabuchi; T Ozawa; H Itoh; M Horie; T Terada; T Katsura,2017,,0.7811856865882874,,
76,28846831,Reversal of apixaban anticoagulation by four-factor prothrombin complex concentrates in healthy subjects: a randomized three-period crossover study.,Y Song; Z Wang; I Perlstein; J Wang; F LaCreta; RJA Frost; C Frost,2017,anticoagulants; apixaban; healthy volunteers; pharmacokinetics; prothrombin complex concentrates,0.7796697020530701,,
77,24951330,Orally bioavailable factor Xa inhibitors containing alpha-substituted gem-dimethyl P4 moieties.,MJ Orwat; JX Qiao; K He; AR Rendina; JM Luettgen; KA Rossi; B Xin; RM Knabb; RR Wexler; PY Lam; DJ Pinto,2014,Factor Xa inhibitors; Thromboembolic disorders,0.760222315788269,,
78,33278889,Accidental apixaban intoxication in a 23-month-old child: a case report.,M Launay; Y Nasser; I Maubert; AC Chaux; X Delavenne,2020,Apixaban; Case report; Child; DOAC; Digoxin; Intoxication; Overdose; Pediatrics; Pharmacokinetics,0.7551045417785645,PMC7718703,
79,29928148,Erratum: A randomized direct comparison of the pharmacokinetics and pharmacodynamics of apixaban and rivaroxaban [Corrigendum.,,2018,,0.7452776432037354,PMC6001736,
80,23466964,Inhibitory effect of apixaban compared with rivaroxaban and dabigatran on thrombin generation assay.,PC Wong; A White; J Luettgen,2013,,0.7431735396385193,,
81,19071881,Comparative pharmacodynamics and pharmacokinetics of oral direct thrombin and factor xa inhibitors in development.,BI Eriksson; DJ Quinlan; JI Weitz,2009,,0.7305321097373962,,
82,29606886,Influence of ABCB1 and CYP3A5 gene polymorphisms on pharmacokinetics of apixaban in patients with atrial fibrillation and acute stroke.,AV Kryukov; DA Sychev; DA Andreev; KA Ryzhikova; EA Grishina; AV Ryabova; MA Loskutnikov; VV Smirnov; OD Konova; IA Matsneva; PO Bochkov,2018,apixaban; atrial fibrillation; cardioembolic stroke; non-vitamin K anticoagulants; pharmacogenetics; pharmacokinetics,0.7219183444976807,PMC5868588,
83,22177763,[Pharmacologic heterogeneity of new anticoagulants].,MM Samamaa; J Conard; C Flaujac; S Combe; MH Horellou,2011,,0.7010247707366943,,
84,32150643,A Simple Methodology to Differentiate Changes in Bioavailability From Changes in Clearance Following Oral Dosing of Metabolized Drugs.,JK Sodhi; LZ Benet,2020,,0.6999914050102234,PMC7478330,
85,27116356,"Determination of rivaroxaban, apixaban and edoxaban in rat plasma by UPLC-MS/MS method.",WL Zhang; D Lou; DT Zhang; Y Zhang; HJ Huang,2016,Apixaban; Edoxaban; Pharmacokinetics; Plasma; Rivaroxaban; UPLC–MS/MS,0.6931759715080261,,
86,28074293,[Management of NOAK administration during invasive or surgical interventions : When and how to pause and when to restart?],M Buerke; HM Hoffmeister,2017,Atrial fibrillation; Hemorrhage; Surgery; Venous thromboembolism; direct thrombin antagonist Factor Xa inhibitors,0.667988121509552,,
87,27045068,Influence of apixaban on antifactor Xa levels in a patient with acute kidney injury.,J Wendte; G Voss; B VanOverschelde,2016,,0.6552199125289917,,
88,32160801,Apixaban Versus Warfarin in Patients With Atrial Fibrillation and Advanced Chronic Kidney Disease.,JW Stanifer; SD Pokorney; GM Chertow; SH Hohnloser; DM Wojdyla; S Garonzik; W Byon; Z Hijazi; RD Lopes; JH Alexander; L Wallentin; CB Granger,2020,"apixaban; atrial fibrillation; renal insufficiency, chronic; warfarin",0.6439664363861084,,
89,27884586,The X factor: Lack of bleeding after an acute apixaban overdose.,SM Leikin; H Patel; KL Welker; JB Leikin,2017,Apixaban; Bleeding; Overdose,0.6423518657684326,,
90,29792125,"Characteristics of Apixaban-Treated Patients, Evaluation of the Dose Prescribed, and the Persistence of Treatment: A Cohort Study in Catalonia.",A Gomez-Lumbreras; J Cortes; M Giner-Soriano; MA Quijada-Manuitt; R Morros,2018,anticoagulants; apixaban; drug use review; electronic health records; medication adherence,0.6305892467498779,,
91,30698331,An in vitro study to investigate the interference of enoxaparin on plasma levels of direct oral factor Xa inhibitors measured by chromogenic assays.,M Cini; C Legnani; S Testa; A Tripodi; B Cosmi; G Palareti,2019,apixaban; edoxaban; enoxaparin; interference; rivaroxaban,0.6286877393722534,PMC6850445,
92,34192609,Phase I clinical trial of an antithrombotic drug protocol combining apixaban and clopidogrel in dogs.,AL Gagnon; BA Scansen; C Olver; S Shropshire; A Hess; EC Orton,2021,Anticoagulant; Canine; NOAC; Thrombosis,0.6179913878440857,,
93,32053549,"Simultaneous Determination of Dabigatran, Rivaroxaban, and Apixaban in Human Plasma by Liquid Chromatography/Tandem Mass Spectrometry.",M Zhang; GA Moore; PKL Chin,2020,,0.6162021160125732,,
94,29977164,Pharmacological properties of betrixaban.,MV Huisman; FA Klok,2018,Betrixaban; Direct oral anticoagulant; Medically ill; Pharmacokinetics; Thromboprophylaxis; Venous thromboembolism,0.6147101521492004,PMC6016700,PK - None | Study Population - None
95,33030266,Physiologically-Based Pharmacokinetic Modeling for the Prediction of a Drug-Drug Interaction of Combined Effects on P-glycoprotein and Cytochrome P450 3A.,Y Otsuka; MP Choules; PL Bonate; K Komatsu,2020,,0.6081962585449219,PMC7679072,PK - None | Study Population - None
