study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	sd	se	unit	comments
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	2.5	hr	363.636363636364	NA	NA	NA	ng/ml	SD NR
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	3.0	hr	371.294726030669	488.343763435724	117.049037405054	28.3885614469359	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	4.0	hr	356.818181818182	NA	NA	NA	ng/ml	SD NR
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	6.0	hr	259.090909090909	352.419027373047	93.3281182821382	22.6353935010232	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	6.5	hr	247.727272727273	333.620957340085	85.8936846128125	20.8322784842421	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	8.0	hr	175.0	189.061529642192	14.0615296421916	3.41042188073586	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	10.0	hr	113.636363636364	125.415014570296	11.778650933932	2.85674246634598	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	12.0	hr	70.4545454545455	100.794797687861	30.3402522333157	7.35859203916722	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	18.0	hr	26.5768950352897	43.9755476145426	17.3986525792529	4.21979307809911	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	24.0	hr	13.87970435439	25.8948588954009	12.0151545410109	2.91410301651221	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	36.0	hr	3.35808601183097	5.9720092573084	2.61392324547742	0.633969508138866	ng/ml	NA
Wang2014	NA	all	17.0	API20, AC50_6hr	concentration	apixaban	plasma	HPLC MS/MS	API20, AC50_6hr_all_apixaban	48.0	hr	2.17177639135221	3.1876266284138	1.01585023706159	0.24637987218904	ng/ml	NA
