, 	Person	PubMed	dose route	substance	dosing	dose [mg]	combination	healthy	age	renal impairment	hepatic impairment	obesity	Chronic Heart Failure	NAFLD	hypertension	fed	fasted	Pharmacokinetics	plasma/serum apixaban	urine data apixaban	feces data apixaban	bile data apixaban	plasma/serum apixaban metabolites	urine data apixaban metabolites	feces data apixaban metabolites	bile data apixaban	Pharmacodynamics	(anti-)FXa activity	Activated partial thromboplastin (aPTT)	(modified) prothrombin time (mPT)	INR	thrombine generation	Priority	Github	PK-DB identifier	Curation status	Information in Google Docs	Available via repository	upload	simulation	Parameter fitting	Comments
study	person	pmid	route	substance	dosing	dose	combination	healthy	elderly	renal impairment	hepatic impairment	obesity	HF	NAFLD	hypertension	fed	fasted	pk	api plasma	api urine	api feces	api bile	apimet plasma	apimet urine	apimet feces	apimet bile	pd	FXa	aPTT	mPT	INR	thrombin	priority	github	pkdb	status	docs	repo	upload	simulation	fitting	comments
Lenard2025	Mariia Babaeva	40290437	oral	apixaban, edoxaban, rivaroxaban	single	0.025	carbamazepine, gabapentin, pregabalin	TRUE								?	?	TRUE	TRUE														high	#2009	PKDB01100	finished	TRUE	TRUE	TRUE	TRUE	TRUE	edoxaban studies
Leong2024	Shelee Bedon	38685874	oral	apixaban	single	5		TRUE									TRUE	TRUE	TRUE														high	#2044	PKDB01154	finished	TRUE	TRUE	TRUE	TRUE	TRUE	
Metze2021	Mariia Babaeva	34097808	oral	apixaban, edoxaban, rivaroxaban	single	5(BID)				TRUE						?	?	TRUE	TRUE	TRUE							TRUE						high	#2038	PKDB01137	finished	TRUE	TRUE	TRUE	TRUE	TRUE	edoxaban studies
Mikus2019	Mariia Babaeva	30828771	oral	apixaban, edoxaban, rivaroxaban	single	0.025	ketoconazole	TRUE								?	?	TRUE	TRUE	TRUE													high	#2032	PKDB01138	finished	TRUE	TRUE	TRUE	TRUE	TRUE	edoxaban studies
Raghavan2009	Matthias König	18832478	oral	[14C]apixaban	single	20		TRUE									TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE							high	#2001	PKDB01146	WIP	TRUE	TRUE	TRUE	TRUE		
Shaikh2021	Michelle Elias	34333583	oral	apixaban	single	5		TRUE									TRUE	TRUE	TRUE														high	#2053		finished	TRUE	TRUE	TRUE	TRUE	TRUE	
Song2015	Shelee Bedon	26188837	oral	apixaban	single	10		TRUE									TRUE	TRUE	TRUE														high	#2056		finished	TRUE	TRUE	TRUE	TRUE		
Song2016	Mariia Myshkina	27292282	oral	apixaban	single	5, 10		TRUE								TRUE	TRUE	TRUE	TRUE														high	#2055		finished	TRUE	TRUE	TRUE	TRUE		several formulations
Rohr2024	Mariia Babaeva	37568371	oral	apixaban, edoxaban, rivaroxaban	single	0.025	ritonavir	TRUE									TRUE	TRUE	TRUE	TRUE													high	#2010	PKDB01101	finished	TRUE	TRUE	TRUE	TRUE	TRUE	
Tirona2018	Mariia Myshkina	29472495	oral	apixaban	single	2.5	rosuvastatin	TRUE				TRUE		TRUE	TRUE		TRUE	TRUE	TRUE	TRUE													high	#2045	PKDB01153	finished	TRUE	TRUE	TRUE	TRUE	TRUE	
Upreti2013	Matthias König	23488672	oral	apixaban	single	10		TRUE				TRUE					TRUE	TRUE	TRUE	TRUE							TRUE	TRUE					high	#1995	PKDB01144	finished	TRUE	TRUE	TRUE	TRUE	TRUE	scatter plot missing
Upreti2013a	Chang Linh Nguyen	23637566	oral	apixaban	single	10	famotidine	TRUE								?	?	TRUE	TRUE														high	#2046		finished	TRUE	TRUE	TRUE	TRUE		
Vakkalagadda2016	Mariia Myshkina	26749408	iv, oral	apixaban	single	5, 10	rifampin	TRUE									TRUE	TRUE	TRUE	TRUE													high	#2050		finished	TRUE	TRUE	TRUE	TRUE		
VandenBosch2021	Mariia Myshkina	33351142	oral	apixaban	single	2.5, 5				TRUE								TRUE															high	#2043	PKDB01145	finished	TRUE	TRUE	TRUE	TRUE	TRUE	mainly hemodialysis, post-dialysis data taken
Wang2014	Mariia Myshkina	24277644	oral	apixaban	single	20	charcoal	TRUE									TRUE	TRUE	TRUE														high	#2054			TRUE	TRUE	TRUE	TRUE		
Wang2016	Shelee Bedon	26331581	oral	apixaban	single	5		TRUE		TRUE						?	?	TRUE	TRUE								TRUE	TRUE	TRUE		TRUE		high	#2042	PKDB01141	finished	TRUE	TRUE	TRUE	TRUE	TRUE	
																																										
Becker2011		21516308	oral	apixaban	multi	2.5 (BID), 10 (QD), 10 (BID), 20 (QD)	aspirin, clopidogrel	TRUE								?	?										TRUE	TRUE					no				TRUE					
Beyer2016		21516308	oral	apixaban	single	5 (BID)		TRUE								?	?	TRUE	TRUE								TRUE	TRUE		TRUE	TRUE		no				TRUE					
Delavenne2013		23499913	oral	apixaban	single	20		TRUE								?	?	TRUE	TRUE														no				TRUE					3 subjects, single dose
Barrett2012		22398784	oral	apixaban	single	5	enoxaparin	TRUE									TRUE	TRUE	TRUE								TRUE	TRUE	TRUE		TRUE		no				TRUE					
Siegal2017		29296829	oral	apixaban	multi	5 (BID)	andexanet alpha	TRUE									TRUE	TRUE	TRUE								TRUE	TRUE				TRUE	no				TRUE					reversal of coagulation
Song2017		28846831	oral	apixaban	multi	10 (BID)	Cofact, Beriplex	TRUE								?	?	TRUE	TRUE								TRUE	TRUE		TRUE	TRUE		no				TRUE					uncommon infusion protocols
