study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	ci	sd	se	unit	comments
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	3.0	hr	NA	745.95	891.89	145.94	210.602374788499	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	4.0	hr	NA	705.41	818.92	113.51	163.803450474459	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	6.0	hr	NA	478.38	575.68	97.3	140.411203692757	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	8.0	hr	NA	332.43	397.3	64.87	93.612279378717	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	23.0	hr	NA	81.08	113.51	32.43	46.7989243140403	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	apixaban	plasma	LC MS/MS	apixaban_API25, RIV25, EDO50, RITx5	24.0	hr	NA	72.97	105.41	32.44	46.8133550646767	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	0.0	hr	NA	0.0	NA	NA	NA	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	0.5	hr	NA	102.79	82.66	20.13	29.0491010311943	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	1.0	hr	NA	118.94	104.85	14.09	20.3329276467724	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	1.5	hr	NA	112.95	94.82	18.13	26.1629509039023	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	2.0	hr	NA	108.95	90.84	18.11	26.1340894026293	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	2.5	hr	NA	111.02	92.9	18.12	26.1485201532658	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	3.0	hr	NA	105.02	88.91	16.11	23.2479392753373	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	4.0	hr	NA	99.06	80.94	18.12	26.1485201532658	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	6.0	hr	NA	62.99	52.92	10.07	14.5317658909154	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	8.0	hr	NA	49.06	36.98	12.08	17.4323467688439	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	23.0	hr	NA	12.06	NA	NA	NA	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50	24.0	hr	NA	12.16	NA	NA	NA	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50, RITx5	0.0	hr	NA	0.0	NA	NA	NA	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50, RITx5	0.5	hr	NA	151.12	290.04	138.92	200.471987841704	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50, RITx5	1.0	hr	NA	189.41	241.77	52.36	75.5594103325054	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50, RITx5	1.5	hr	NA	179.4	221.67	42.27	60.9987829403171	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50, RITx5	2.0	hr	NA	167.35	201.58	34.23	49.3964594286031	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50, RITx5	2.5	hr	NA	155.31	185.51	30.2	43.5808669221097	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50, RITx5	3.0	hr	NA	149.31	177.51	28.2	40.6947167948176	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50, RITx5	4.0	hr	NA	135.3	157.45	22.15	31.9641126597592	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50, RITx5	6.0	hr	NA	101.24	117.35	16.11	23.2479392753373	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50, RITx5	8.0	hr	NA	69.2	81.28	12.08	17.4323467688439	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50, RITx5	23.0	hr	NA	12.07	16.09	4.02	5.80116175585698	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	edoxaban	plasma	LC MS/MS	edoxaban_API25, RIV25, EDO50, RITx5	24.0	hr	NA	12.16	NA	NA	NA	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50	0.0	hr	NA	0.0	NA	NA	NA	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50	0.5	hr	NA	840.0	660.0	180.0	259.753511456283	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50	1.0	hr	NA	770.0	630.0	140.0	202.030508910442	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50	1.5	hr	NA	660.0	560.0	100.0	144.307506364602	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50	2.0	hr	NA	560.0	470.0	90.0	129.876755728141	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50	2.5	hr	NA	490.0	390.0	100.0	144.307506364602	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50	3.0	hr	NA	440.0	350.0	90.0	129.876755728141	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50	4.0	hr	NA	370.0	290.0	80.0	115.446005091681	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50	6.0	hr	NA	130.0	100.0	30.0	43.2922519093805	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50	8.0	hr	NA	90.0	60.0	30.0	43.2922519093805	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50	23.0	hr	NA	10.0	NA	NA	NA	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50	24.0	hr	NA	10.0	NA	NA	NA	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	0.0	hr	NA	0.0	NA	NA	NA	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	0.5	hr	NA	980.0	1380.0	400.0	577.230025458406	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	1.0	hr	NA	970.0	1230.0	260.0	375.199516547964	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	1.5	hr	NA	950.0	1230.0	280.0	404.061017820884	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	2.0	hr	NA	840.0	1110.0	270.0	389.630267184424	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	2.5	hr	NA	760.0	970.0	210.0	303.045763365663	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	3.0	hr	NA	760.0	1000.0	240.0	346.338015275044	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	4.0	hr	NA	660.0	900.0	240.0	346.338015275044	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	6.0	hr	NA	280.0	400.0	120.0	173.169007637522	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	8.0	hr	NA	200.0	300.0	100.0	144.307506364602	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	23.0	hr	NA	50.0	90.0	40.0	57.7230025458406	NA	pg/ml	NA
Rohr2024	NA	all	8.0	API25, RIV25, EDO50, RITx5	concentration	rivaroxaban	plasma	LC MS/MS	rivaroxaban_API25, RIV25, EDO50, RITx5	24.0	hr	NA	40.0	60.0	20.0	28.8615012729203	NA	pg/ml	NA
