study	parameter	dose	dose_unit	substance	n	value	mean	sd	median	geometric_mean	Q1	Q3	min	max	unit
Frost2013	thalf	5	mg	apixaban	6		15.2	8.5					2.5	4	hr
#															
Frost2013	cmax	10	mg	apixaban	6					176.3					ng/ml
Frost2013	aucinf	10	mg	apixaban	6					1303.6					ng/ml*hr
Frost2013	aucend_96	10	mg	apixaban	6					1266.5					ng/ml*hr
Frost2013	tmax	10	mg	apixaban	6				3						hr
Frost2013	thalf	10	mg	apixaban	6		11.1	5.8							hr
#															
Frost2013	cmax	25	mg	apixaban	6					365.1					ng/ml
Frost2013	aucinf	25	mg	apixaban	6					4010					ng/ml*hr
Frost2013	aucend_96	25	mg	apixaban	6					3868.9					ng/ml*hr
Frost2013	tmax	25	mg	apixaban	6				3				2	4	hr
Frost2013	thalf	25	mg	apixaban	6		26.8	33.7							hr
#															
Frost2013	cmax	50	mg	apixaban	6					685.2					ng/ml
Frost2013	aucinf	50	mg	apixaban	6					7556.5					ng/ml*hr
Frost2013	aucend_96	50	mg	apixaban	6					7096.7					ng/ml*hr
Frost2013	tmax	50	mg	apixaban	6				2.5				2	4	hr
Frost2013	thalf	50	mg	apixaban	6		19.7	15.3							hr
#															
Frost2013	cmax	5	mg	apixaban	1	74.68									ng/ml
Frost2013	cmax	5	mg	apixaban	1	90.49									ng/ml
Frost2013	cmax	5	mg	apixaban	1	118.16									ng/ml
Frost2013	cmax	5	mg	apixaban	1	130.02									ng/ml
Frost2013	cmax	5	mg	apixaban	1	153.73									ng/ml
#															
Frost2013	cmax	10	mg	apixaban	1	98.01									ng/ml
Frost2013	cmax	10	mg	apixaban	1	157.3									ng/ml
Frost2013	cmax	10	mg	apixaban	1	169.16									ng/ml
Frost2013	cmax	10	mg	apixaban	1	188.92									ng/ml
Frost2013	cmax	10	mg	apixaban	1	287.74									ng/ml
Frost2013	cmax	10	mg	apixaban	1	303.55									ng/ml
#															
Frost2013	cmax	25	mg	apixaban	1	310.27									ng/ml
Frost2013	cmax	25	mg	apixaban	1	341.89									ng/ml
Frost2013	cmax	25	mg	apixaban	1	373.51									ng/ml
Frost2013	cmax	25	mg	apixaban	1	389.32									ng/ml
Frost2013	cmax	25	mg	apixaban	1	488.13									ng/ml
#															
Frost2013	cmax	50	mg	apixaban	1	458.51									ng/ml
Frost2013	cmax	50	mg	apixaban	1	581.04									ng/ml
Frost2013	cmax	50	mg	apixaban	1	660.09									ng/ml
Frost2013	cmax	50	mg	apixaban	1	711.47									ng/ml
Frost2013	cmax	50	mg	apixaban	1	762.86									ng/ml
Frost2013	cmax	50	mg	apixaban	1	778.67									ng/ml
Frost2013	cmax	50	mg	apixaban	1	928.87									ng/ml
#															
Frost2013	aucinf	5	mg	apixaban	1	826.09									ng/ml*hr
Frost2013	aucinf	5	mg	apixaban	1	1086.96									ng/ml*hr
Frost2013	aucinf	5	mg	apixaban	1	1391.3									ng/ml*hr
Frost2013	aucinf	5	mg	apixaban	1	1652.17									ng/ml*hr
#															
Frost2013	aucinf	10	mg	apixaban	1	1000									ng/ml*hr
Frost2013	aucinf	10	mg	apixaban	1	1217.39									ng/ml*hr
Frost2013	aucinf	10	mg	apixaban	1	1391.3									ng/ml*hr
Frost2013	aucinf	10	mg	apixaban	1	2217.39									ng/ml*hr
#															
Frost2013	aucinf	25	mg	apixaban	1	3086.96									ng/ml*hr
Frost2013	aucinf	25	mg	apixaban	1	3652.17									ng/ml*hr
Frost2013	aucinf	25	mg	apixaban	1	4086.96									ng/ml*hr
Frost2013	aucinf	25	mg	apixaban	1	4347.83									ng/ml*hr
Frost2013	aucinf	25	mg	apixaban	1	5391.3									ng/ml*hr
#															
Frost2013	aucinf	50	mg	apixaban	1	4869.57									ng/ml*hr
Frost2013	aucinf	50	mg	apixaban	1	5956.52									ng/ml*hr
Frost2013	aucinf	50	mg	apixaban	1	7347.83									ng/ml*hr
Frost2013	aucinf	50	mg	apixaban	1	7565.22									ng/ml*hr
Frost2013	aucinf	50	mg	apixaban	1	9086.96									ng/ml*hr
Frost2013	aucinf	50	mg	apixaban	1	9521.74									ng/ml*hr
Frost2013	aucinf	50	mg	apixaban	1	10130.43									ng/ml*hr
#															
Frost2013a	cmax	10	mg	apixaban	6		178	33.896							ng/ml
Frost2013a	aucend_24	10	mg	apixaban	6		1590								ng*hr/ml
Frost2013a	tmax	10	mg	apixaban	6				4				3	4	hr
#															
Frost2013a	cmax	25	mg	apixaban	6		310	37.2							ng/ml
Frost2013a	aucend_24	25	mg	apixaban	6		2868.1								ng*hr/ml
Frost2013a	tmax	25	mg	apixaban	6				4				2	6	hr
#															
Frost2013a	inrmax	10	mg	apixaban	6		0.2	0.034							dimensionless
Frost2013a	apttmax	10	mg	apixaban	6		3.88	0.497							s
Frost2013a	mptmax	10	mg	apixaban	6		55.25	11.974							s
#															
Frost2013a	inrmax	25	mg	apixaban	6		0.47	0.15							dimensionless
Frost2013a	apttmax	25	mg	apixaban	6		7.6	2.224							s
Frost2013a	mptmax	25	mg	apixaban	6		82.7	15.443							s
#															
Frost2014	cmax	2.5	mg	apixaban	14			78.66		171					ng/ml
Frost2014	cmin	2.5	mg	apixaban	14			3.939		10.1					ng/ml
Frost2014	tmax	2.5	mg	apixaban	14				2				1	3	hr
Frost2014	aucend_24	2.5	mg	apixaban	14			317.26		1094					ng*hr/ml
Frost2014	thalf	2.5	mg	apixaban	14			0.2367		7.89					hr
#															
Frost2014a	cmax	10	mg	apixaban	21					175					ng/ml
Frost2014a	tmax	10	mg	apixaban	21				3				1	4	hr
Frost2014a	aucend_72	10	mg	apixaban	21					1651					ng/ml*hr
Frost2014a	aucinf	10	mg	apixaban	21					1693					ng/ml*hr
Frost2014a	thalf	10	mg	apixaban	21		13	5.6							hr
#															
Frost2015	cmax	20	mg	apixaban	40			107.236		315.4					ng/ml
Frost2015	aucinf	20	mg	apixaban	40			1095.68		3424					ng/ml*hr
Frost2015	aucend_96	20	mg	apixaban	40			1075.2		3360					ng/ml*hr
Frost2015	tmax	20	mg	apixaban	40				3				1	4	hr
Frost2015	thalf	20	mg	apixaban	40		11.98	5.15							hr
Frost2015	cl_renal	20	mg	apixaban	40		0.63	0.33							l/hr
Frost2015	cl	20	mg	apixaban	40		6.1	1.81							l/hr
#															
Frost2015a	cmax	10	mg	apixaban	20					139.5					ng/ml
Frost2015a	aucend_72	10	mg	apixaban	20					1490					ng*hr/ml
Frost2015a	aucinf	10	mg	apixaban	20					1523					ng*hr/ml
Frost2015a	tmax	10	mg	apixaban	20				4				1	4	hr
Frost2015a	thalf	10	mg	apixaban	20		11.3	5.8							hr
#															
Frost2015a	cmax	10	mg	apixaban	12					148.1					ng/ml
Frost2015a	aucend_72	10	mg	apixaban	12					1779					ng*hr/ml
Frost2015a	aucinf	10	mg	apixaban	12					1897					ng*hr/ml
Frost2015a	tmax	10	mg	apixaban	12				3				2	8	hr
Frost2015a	thalf	10	mg	apixaban	12		17.2	7.4							hr
#															
Frost2017	cmax	10	mg	apixaban	15					216					ng/ml
Frost2017	aucend_72	10	mg	apixaban	15					2103					ng/ml*hr
Frost2017	aucinf	10	mg	apixaban	15					2157					ng/ml*hr
Frost2017	thalf	10	mg	apixaban	15		13.9	6.1							hr
Frost2017	tmax	10	mg	apixaban	15				3				1	4	hr
#															
Frost2018	cmax	2.5	mg	apixaban	1	61.07									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	57.86									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	54.64									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	51.43									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	48.21									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	45									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	38.57									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	22.5									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	32.14									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	41.79									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	51.43									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	54.64									ng/ml
#															
Frost2018	cmax	2.5	mg	apixaban	1	64.29									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	61.07									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	54.64									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	51.43									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	45									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	41.79									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	32.14									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	41.79									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	54.64									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	38.57									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	48.21									ng/ml
Frost2018	cmax	2.5	mg	apixaban	1	41.79									ng/ml
#															
Frost2018	cmax	10	mg	apixaban	1	228.21									ng/ml
Frost2018	cmax	10	mg	apixaban	1	218.57									ng/ml
Frost2018	cmax	10	mg	apixaban	1	192.86									ng/ml
Frost2018	cmax	10	mg	apixaban	1	144.64									ng/ml
Frost2018	cmax	10	mg	apixaban	1	160.71									ng/ml
Frost2018	cmax	10	mg	apixaban	1	180									ng/ml
Frost2018	cmax	10	mg	apixaban	1	77.14									ng/ml
Frost2018	cmax	10	mg	apixaban	1	167.14									ng/ml
Frost2018	cmax	10	mg	apixaban	1	186.43									ng/ml
Frost2018	cmax	10	mg	apixaban	1	180									ng/ml
Frost2018	cmax	10	mg	apixaban	1	205.71									ng/ml
Frost2018	cmax	10	mg	apixaban	1	170.36									ng/ml
#															
Frost2018	cmax	10	mg	apixaban	1	517.5									ng/ml
Frost2018	cmax	10	mg	apixaban	1	231.43									ng/ml
Frost2018	cmax	10	mg	apixaban	1	218.57									ng/ml
Frost2018	cmax	10	mg	apixaban	1	212.14									ng/ml
Frost2018	cmax	10	mg	apixaban	1	176.79									ng/ml
Frost2018	cmax	10	mg	apixaban	1	173.57									ng/ml
Frost2018	cmax	10	mg	apixaban	1	141.43									ng/ml
Frost2018	cmax	10	mg	apixaban	1	208.93									ng/ml
Frost2018	cmax	10	mg	apixaban	1	221.79									ng/ml
Frost2018	cmax	10	mg	apixaban	1	221.79									ng/ml
Frost2018	cmax	10	mg	apixaban	1	167.14									ng/ml
Frost2018	cmax	10	mg	apixaban	1	225									ng/ml
#															
Frost2018	cmax	25	mg	apixaban	1	446.79									ng/ml
Frost2018	cmax	25	mg	apixaban	1	421.07									ng/ml
Frost2018	cmax	25	mg	apixaban	1	430.71									ng/ml
Frost2018	cmax	25	mg	apixaban	1	421.07									ng/ml
Frost2018	cmax	25	mg	apixaban	1	421.07									ng/ml
Frost2018	cmax	25	mg	apixaban	1	414.64									ng/ml
Frost2018	cmax	25	mg	apixaban	1	289.29									ng/ml
Frost2018	cmax	25	mg	apixaban	1	292.5									ng/ml
Frost2018	cmax	25	mg	apixaban	1	327.86									ng/ml
Frost2018	cmax	25	mg	apixaban	1	385.71									ng/ml
Frost2018	cmax	25	mg	apixaban	1	398.57									ng/ml
Frost2018	cmax	25	mg	apixaban	1	398.57									ng/ml
#															
Frost2018	cmax	25	mg	apixaban	1	244.29									ng/ml
Frost2018	cmax	25	mg	apixaban	1	257.14									ng/ml
Frost2018	cmax	25	mg	apixaban	1	273.21									ng/ml
Frost2018	cmax	25	mg	apixaban	1	318.21									ng/ml
Frost2018	cmax	25	mg	apixaban	1	356.79									ng/ml
Frost2018	cmax	25	mg	apixaban	1	372.86									ng/ml
Frost2018	cmax	25	mg	apixaban	1	363.21									ng/ml
Frost2018	cmax	25	mg	apixaban	1	388.93									ng/ml
Frost2018	cmax	25	mg	apixaban	1	411.43									ng/ml
Frost2018	cmax	25	mg	apixaban	1	360									ng/ml
Frost2018	cmax	25	mg	apixaban	1	260.36									ng/ml
Frost2018	cmax	25	mg	apixaban	1	398.57									ng/ml
#															
Frost2018	cmax	50	mg	apixaban	1	777.857									ng/ml
Frost2018	cmax	50	mg	apixaban	1	623.571									ng/ml
Frost2018	cmax	50	mg	apixaban	1	630									ng/ml
Frost2018	cmax	50	mg	apixaban	1	613.929									ng/ml
Frost2018	cmax	50	mg	apixaban	1	601.071									ng/ml
Frost2018	cmax	50	mg	apixaban	1	552.857									ng/ml
Frost2018	cmax	50	mg	apixaban	1	427.5									ng/ml
Frost2018	cmax	50	mg	apixaban	1	427.5									ng/ml
Frost2018	cmax	50	mg	apixaban	1	411.429									ng/ml
Frost2018	cmax	50	mg	apixaban	1	395.357									ng/ml
Frost2018	cmax	50	mg	apixaban	1	369.643									ng/ml
Frost2018	cmax	50	mg	apixaban	1	347.143									ng/ml
#															
Frost2018	cmax	50	mg	apixaban	1	752.143									ng/ml
Frost2018	cmax	50	mg	apixaban	1	588.214									ng/ml
Frost2018	cmax	50	mg	apixaban	1	575.357									ng/ml
Frost2018	cmax	50	mg	apixaban	1	556.071									ng/ml
Frost2018	cmax	50	mg	apixaban	1	511.071									ng/ml
Frost2018	cmax	50	mg	apixaban	1	498.214									ng/ml
Frost2018	cmax	50	mg	apixaban	1	485.357									ng/ml
Frost2018	cmax	50	mg	apixaban	1	491.786									ng/ml
Frost2018	cmax	50	mg	apixaban	1	450									ng/ml
Frost2018	cmax	50	mg	apixaban	1	337.5									ng/ml
Frost2018	cmax	50	mg	apixaban	1	286.071									ng/ml
Frost2018	cmax	50	mg	apixaban	1	485.357									ng/ml
#															
Frost2018	aucinf	2.5	mg	apixaban	1	578.129									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	514.071									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	482.043									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	450.014									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	353.928									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	257.842									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	289.87									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	450.014									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	385.957									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	514.071									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	610.158									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	546.1									ng*hr/ml
#															
Frost2018	aucinf	2.5	mg	apixaban	1	353.928									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	450.014									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	546.17									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	418.055									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	418.055									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	482.113									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	578.199									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	321.829									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	385.886									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	481.973									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	417.985									ng*hr/ml
Frost2018	aucinf	2.5	mg	apixaban	1	514.071									ng*hr/ml
#															
Frost2018	aucinf	10	mg	apixaban	1	1896.072									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1799.986									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1767.957									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1639.842									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1639.842									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1383.613									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	871.153									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1543.686									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1511.657									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1607.884									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1735.999									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1767.957									ng*hr/ml
#															
Frost2018	aucinf	10	mg	apixaban	1	2312.656									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	2248.458									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	2120.343									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1895.722									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1895.722									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1703.549									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1575.435									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1479.348									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1319.205									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1960.34									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	2184.541									ng*hr/ml
Frost2018	aucinf	10	mg	apixaban	1	1992.369									ng*hr/ml
#															
Frost2018	aucinf	25	mg	apixaban	1	4371.885									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	4147.684									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	3827.397									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	3731.311									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	3571.167									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	3443.052									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	3282.909									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	3026.679									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	2802.478									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	2482.121									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	3603.126									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	3699.212									ng*hr/ml
#															
Frost2018	aucinf	25	mg	apixaban	1	2289.878									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	4083.346									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	4147.404									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	4211.461									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	4339.646									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	4179.503									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	3442.842									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	3378.785									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	3634.944									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	3891.174									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	4051.388									ng*hr/ml
Frost2018	aucinf	25	mg	apixaban	1	4211.531									ng*hr/ml
#															
Frost2018	aucinf	50	mg	apixaban	1	8871.815									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	7174.293									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	5508.589									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	4964.241									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	4451.782									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	4195.622									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	4035.478									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	3875.335									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	3426.793									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	3298.678									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	5060.538									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	4099.536									ng*hr/ml
#															
Frost2018	aucinf	50	mg	apixaban	1	8551.668									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	8551.668									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	7430.312									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	7206.111									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	7142.054									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	6981.91									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	6853.795									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	5636.774									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	4675.913									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	4323.597									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	4291.568									ng*hr/ml
Frost2018	aucinf	50	mg	apixaban	1	4355.836									ng*hr/ml
#															
Frost2018	cmax	2.5	mg	apixaban	12		52.5	16							ng/ml
Frost2018	aucinf	2.5	mg	apixaban	12		465.7	17							ng/ml*hr
Frost2018	aucend_36	2.5	mg	apixaban	10		429.8	16							ng/ml*hr
Frost2018	tmax	2.5	mg	apixaban	12				3.5				1.5	6	hr
Frost2018	thalf	2.5	mg	apixaban	10		6.12	1.21							hr
Frost2018	cl_renal	2.5	mg	apixaban	12		1.11	0.31							L/hr
#															
Frost2018	cmax	2.5	mg	apixaban	12		44.8	20							ng/ml
Frost2018	aucinf	2.5	mg	apixaban	12		446.5	15							ng/ml*hr
Frost2018	aucend_48	2.5	mg	apixaban	12		421.96	18							ng/ml*hr
Frost2018	tmax	2.5	mg	apixaban	12				3.5				2.5	4	hr
Frost2018	thalf	2.5	mg	apixaban	12		8.87	2.95							hr
Frost2018	cl_renal	2.5	mg	apixaban	12		0.9	0.21							L/hr
#															
Frost2018	cmax	10	mg	apixaban	12		175.7	22							ng/ml
Frost2018	aucinf	10	mg	apixaban	12		1628	18							ng/ml*hr
Frost2018	aucend_48	10	mg	apixaban	12		1607	18							ng/ml*hr
Frost2018	tmax	10	mg	apixaban	12				3				1	6	hr
Frost2018	thalf	10	mg	apixaban	12		8.11	4.18							hr
Frost2018	cl_renal	10	mg	apixaban	12		1.15	0.33							L/hr
#															
Frost2018	cmax	10	mg	apixaban	12		207.8	44							ng/ml
Frost2018	aucinf	10	mg	apixaban	12		1946	15							ng/ml*hr
Frost2018	aucend_72	10	mg	apixaban	12		1896	15							ng/ml*hr
Frost2018	tmax	10	mg	apixaban	12				3				2.5	4	hr
Frost2018	thalf	10	mg	apixaban	12		13.39	6.15							hr
Frost2018	cl_renal	10	mg	apixaban	12		0.8	0.26							L/hr
#															
Frost2018	cmax	25	mg	apixaban	12		368.8	16							ng/ml
Frost2018	aucinf	25	mg	apixaban	12		3414	15							ng/ml*hr
Frost2018	aucend_72	25	mg	apixaban	12		3374	16							ng/ml*hr
Frost2018	tmax	25	mg	apixaban	12				3				2	4	hr
Frost2018	thalf	25	mg	apixaban	12		8.25	2.47							hr
Frost2018	cl_renal	25	mg	apixaban	12		1.04	0.29							L/hr
#															
Frost2018	cmax	25	mg	apixaban	12		345.2	18							ng/ml
Frost2018	aucinf	25	mg	apixaban	12		3819	19							ng/ml*hr
Frost2018	aucend_72	25	mg	apixaban	12		3747	18							ng/ml*hr
Frost2018	tmax	25	mg	apixaban	12				3.5				2	4	hr
Frost2018	thalf	25	mg	apixaban	12		12.7	3.9							hr
Frost2018	cl_renal	25	mg	apixaban	12		0.84	0.1							L/hr
#															
Frost2018	cmax	50	mg	apixaban	12		485	28							ng/ml
Frost2018	aucinf	50	mg	apixaban	12		4743	34							ng/ml*hr
Frost2018	aucend_72	50	mg	apixaban	12		4706	34							ng/ml*hr
Frost2018	tmax	50	mg	apixaban	12				4				1.5	6	hr
Frost2018	thalf	50	mg	apixaban	12		8.47	1.71							hr
Frost2018	cl_renal	50	mg	apixaban	12		1.05	0.29							L/hr
#															
Frost2018	cmax	50	mg	apixaban	12		494.3	23							ng/ml
Frost2018	aucinf	50	mg	apixaban	10		6093	24							ng/ml*hr
Frost2018	aucend_72	50	mg	apixaban	12		5991	22							ng/ml*hr
Frost2018	tmax	50	mg	apixaban	12				3.5				2	4	hr
Frost2018	thalf	50	mg	apixaban	12		16.12	7.77							hr
Frost2018	cl_renal	50	mg	apixaban	12		0.73	0.18							L/hr
#															
Frost2021	cmax	5	mg	apixaban	6			42.159		89.7					ng/ml
Frost2021	cmax	5	mg	apixaban	6		97.9	46							ng/ml
Frost2021	auc_inf	5	mg	apixaban	6			416.756		969.2					ng*hr/ml
Frost2021	auc_inf	5	mg	apixaban	6		1041.1	447.3							ng*hr/ml
Frost2021	tmax	5	mg	apixaban	6				3.98				2	4	hr
Frost2021	thalf	5	mg	apixaban	6		10.78	2.13							hr
Frost2021	cl_renal	5	mg	apixaban	6		0.6	0.25							l/hr
#															
Frost2021a	cmax	5	mg	apixaban	16					123					ng/ml
Frost2021a	aucinf	5	mg	apixaban	16					1054					ng*hr/ml
Frost2021a	tmax	5	mg	apixaban	16				2.5				2	4	hr
Frost2021a	thalf	5	mg	apixaban	16		14.8	10.2							hr
Frost2021a	cl_renal	5	mg	apixaban	16					0.59					ml/min
Frost2021a	aucend_72	5	mg	apixaban	16					1021					ng*hr/ml
#															
Garonzik2019	cmax	5	mg	apixaban	19					261					ng/ml
Garonzik2019	aucend_72	5	mg	apixaban	19					2482					ng/ml*hr
Garonzik2019	aucinf	5	mg	apixaban	19					2531					ng/ml*hr
Garonzik2019	tmax	5	mg	apixaban	19				3				1	4.03	hr
