study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	min	max	cv	unit	comments
Frost2014a	NA	all	21.0	NAPR500	Anti-factor Xa activity	NA	plasma	colorimetric assay	NAPR500_Anti-factor Xa activity_all	3.0	hr	0.0	NA	NA	NA	NA	NA	IU/ml	NA
Frost2014a	NA	all	21.0	NAPR500	inr	NA	plasma	coagulation assay	NAPR500_inr_all	0.0	hr	0.92	0.05	NA	NA	NA	NA	dimensionless	NA
Frost2014a	NA	all	21.0	NAPR500	inr	NA	plasma	coagulation assay	NAPR500_inr_all	3.0	hr	0.92	0.04	NA	NA	NA	NA	dimensionless	NA
Frost2014a	NA	all	21.0	NAPR500	inr (change)	NA	plasma	coagulation assay	NAPR500_inr (change)_all	3.0	hr	1.0	3.0	NA	NA	NA	NA	dimensionless	NA
Frost2014a	NA	all	21.0	NAPR500	AA-induced aggregation	NA	plasma	coagulation assay	NAPR500_AA-induced aggregation_all	0.0	hr	75.5	13.4	NA	NA	NA	NA	percent	arachidonic acid-induced platelet aggregation
Frost2014a	NA	all	21.0	NAPR500	AA-induced aggregation	NA	plasma	coagulation assay	NAPR500_AA-induced aggregation_all	3.0	hr	11.05	12.0	NA	NA	NA	NA	percent	NA
Frost2014a	NA	all	21.0	NAPR500	AA-induced aggregation	NA	plasma	coagulation assay	NAPR500_AA-induced aggregation_all	3.0	hr	-84.0	18.0	NA	NA	NA	NA	percent	NA
Frost2014a	NA	all	21.0	NAPR500	bleeding time	NA	plasma	coagulation assay	NAPR500_bleeding time_all	0.0	hr	4.4	1.2	NA	NA	NA	NA	min	NA
Frost2014a	NA	all	21.0	NAPR500	bleeding time	NA	plasma	coagulation assay	NAPR500_bleeding time_all	3.0	hr	6.9	2.6	NA	NA	NA	NA	min	NA
Frost2014a	NA	all	21.0	NAPR500	bleeding time	NA	plasma	coagulation assay	NAPR500_bleeding time_all	3.0	hr	70.0	81.0	NA	NA	NA	NA	min	NA
Frost2014a	NA	all	21.0	API10, NAPR500	Anti-factor Xa activity	NA	plasma	colorimetric assay	API10, NAPR500_Anti-factor Xa activity_all	0.0	hr	0.0	NA	NA	NA	NA	NA	IU/ml	NA
Frost2014a	NA	all	21.0	API10, NAPR500	Anti-factor Xa activity	NA	plasma	colorimetric assay	API10, NAPR500_Anti-factor Xa activity_all	3.0	hr	4.4	1.0	NA	NA	NA	NA	IU/ml	NA
Frost2014a	NA	all	21.0	API10, NAPR500	inr	NA	plasma	coagulation assay	API10, NAPR500_inr_all	0.0	hr	0.92	0.05	NA	NA	NA	NA	dimensionless	NA
Frost2014a	NA	all	21.0	API10, NAPR500	inr	NA	plasma	coagulation assay	API10, NAPR500_inr_all	3.0	hr	1.1	0.07	NA	NA	NA	NA	dimensionless	NA
Frost2014a	NA	all	21.0	API10, NAPR500	inr (change)	NA	plasma	coagulation assay	API10, NAPR500_inr (change)_all	3.0	hr	20.0	6.0	NA	NA	NA	NA	dimensionless	NA
Frost2014a	NA	all	21.0	API10, NAPR500	AA-induced aggregation	NA	plasma	coagulation assay	API10, NAPR500_AA-induced aggregation_all	0.0	hr	75.9	17.3	NA	NA	NA	NA	percent	arachidonic acid-induced platelet aggregation
Frost2014a	NA	all	21.0	API10, NAPR500	AA-induced aggregation	NA	plasma	coagulation assay	API10, NAPR500_AA-induced aggregation_all	3.0	hr	10.4	10.61	NA	NA	NA	NA	percent	NA
Frost2014a	NA	all	21.0	API10, NAPR500	AA-induced aggregation	NA	plasma	coagulation assay	API10, NAPR500_AA-induced aggregation_all	3.0	hr	-82.0	26.0	NA	NA	NA	NA	percent	NA
Frost2014a	NA	all	21.0	API10, NAPR500	bleeding time	NA	plasma	coagulation assay	API10, NAPR500_bleeding time_all	0.0	hr	5.5	3.2	NA	NA	NA	NA	min	NA
Frost2014a	NA	all	21.0	API10, NAPR500	bleeding time	NA	plasma	coagulation assay	API10, NAPR500_bleeding time_all	3.0	hr	9.1	4.1	NA	NA	NA	NA	min	NA
Frost2014a	NA	all	21.0	API10, NAPR500	bleeding time	NA	plasma	coagulation assay	API10, NAPR500_bleeding time_all	3.0	hr	82.0	74.0	NA	NA	NA	NA	min	NA
