study	group	count	intervention	time	time_unit	x_measurement_type	x_substance	x_tissue	x_method	x_label	x	x_unit	y_measurement_type	y_substance	y_tissue	y_method	y_label	y	y_unit	comments
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	86.8965517241379	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	3.90291262135922	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	87.5862068965517	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	5.24271844660194	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	89.6551724137931	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	6.17475728155339	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	97.2413793103448	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	5.59223300970873	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	97.2413793103448	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	5.126213592233	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	100.344827586206	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	6.11650485436893	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	105.172413793103	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	5.18446601941747	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	110.0	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.48543689320388	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	116.206896551724	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.95145631067961	l/hr	NA
Frost2015	young	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	144.482758620689	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	3.61165048543689	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	88.2758620689655	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	4.89320388349514	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	93.4482758620689	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	5.8252427184466	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	97.2413793103448	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	3.72815533980582	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	97.2413793103448	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	3.78640776699029	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	99.3103448275861	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	6.34951456310679	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	101.379310344827	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	6.81553398058252	l/hr	NA
Frost2015	elderly	1.0	API_20	NR	NR	clearance	creatinine	urine	HPLC MS/MS	clearence_cr_vs_oral_clearance_api	102.413793103448	ml/min	oral clearance	apixaban	plasma	HPLC MS/MS	oral_clearance_api_vs_clearence_cr	5.35922330097087	l/hr	NA
