study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	sd	se	median	min	max	unit	comments
Song2015	study_2	21.0	API5_NGT_IF	bioavailability	apixaban	plasma	LC MS/MS	NA	NA	92.2	7.0	6.454	NA	NA	NA	NA	percent	relative bioavailability, geometric mean
Song2015	study_2	21.0	API5_PO_OS	cmax	apixaban	plasma	LC MS/MS	NA	NA	189.0	23.0	43.47	NA	NA	NA	NA	ng/ml	geometric mean
Song2015	study_2	21.0	API5_PO_OS	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	1280.0	21.0	268.8	NA	NA	NA	NA	ng/ml*hr	geometric mean
Song2015	study_2	21.0	API5_PO_OS	auc_end	apixaban	plasma	LC MS/MS	72.0	hr	1257.0	21.0	263.97	NA	NA	NA	NA	ng/ml*hr	geometric mean
Song2015	study_2	21.0	API5_PO_OS	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	NA	NA	0.52	0.48	2.0	hr	NA
Song2015	study_2	21.0	API5_PO_OS	thalf	apixaban	plasma	LC MS/MS	NA	NA	10.5	NA	4.2	NA	NA	NA	NA	hr	NA
Song2015	study_3	21.0	API5_NGT_NS	cmax	apixaban	plasma	LC MS/MS	NA	NA	121.0	21.0	25.41	NA	NA	NA	NA	ng/ml	geometric mean
Song2015	study_3	21.0	API5_NGT_NS	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	1122.0	18.0	201.96	NA	NA	NA	NA	ng/ml*hr	geometric mean
Song2015	study_3	21.0	API5_NGT_NS	auc_end	apixaban	plasma	LC MS/MS	72.0	hr	1098.0	18.0	197.64	NA	NA	NA	NA	ng/ml*hr	geometric mean
Song2015	study_3	21.0	API5_NGT_NS	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	NA	NA	3.0	1.0	4.2	hr	NA
Song2015	study_3	21.0	API5_NGT_NS	thalf	apixaban	plasma	LC MS/MS	NA	NA	9.6	NA	2.4	NA	NA	NA	NA	hr	NA
Song2015	study_3	21.0	API5_NGT_NS	bioavailability	apixaban	plasma	LC MS/MS	NA	NA	81.3	16.0	13.008	NA	NA	NA	NA	percent	relative bioavailability, geometric mean
Song2015	study_3	21.0	API5_NGT_D5W_crushed	cmax	apixaban	plasma	LC MS/MS	NA	NA	158.0	22.0	34.76	NA	NA	NA	NA	ng/ml	geometric mean
Song2015	study_3	21.0	API5_NGT_D5W_crushed	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	1321.0	18.0	237.78	NA	NA	NA	NA	ng/ml*hr	geometric mean
Song2015	study_3	21.0	API5_NGT_D5W_crushed	auc_end	apixaban	plasma	LC MS/MS	72.0	hr	1295.0	18.0	233.1	NA	NA	NA	NA	ng/ml*hr	geometric mean
Song2015	study_3	21.0	API5_NGT_D5W_crushed	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	NA	NA	1.0	0.5	3.0	hr	NA
Song2015	study_3	21.0	API5_NGT_D5W_crushed	thalf	apixaban	plasma	LC MS/MS	NA	NA	10.4	NA	7.8	NA	NA	NA	NA	hr	NA
Song2015	study_3	21.0	API5_NGT_D5W_crushed	bioavailability	apixaban	plasma	LC MS/MS	NA	NA	95.1	13.0	12.363	NA	NA	NA	NA	percent	relative bioavailability, geometric mean
Song2015	study_3	21.0	API5_PO_OS_3	cmax	apixaban	plasma	LC MS/MS	NA	NA	177.0	19.0	33.63	NA	NA	NA	NA	ng/ml	geometric mean
Song2015	study_3	21.0	API5_PO_OS_3	auc_inf	apixaban	plasma	LC MS/MS	NA	NA	1380.0	15.0	207.0	NA	NA	NA	NA	ng/ml*hr	geometric mean
Song2015	study_3	21.0	API5_PO_OS_3	auc_end	apixaban	plasma	LC MS/MS	72.0	hr	1354.0	15.0	203.1	NA	NA	NA	NA	ng/ml*hr	geometric mean
Song2015	study_3	21.0	API5_PO_OS_3	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	NA	NA	1.0	0.5	2.0	hr	NA
Song2015	study_3	21.0	API5_PO_OS_3	thalf	apixaban	plasma	LC MS/MS	NA	NA	11.2	NA	6.9	NA	NA	NA	NA	hr	NA
