study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	min	max	cv	unit	comments
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	auc_inf	apixaban	plasma	LC MS/MS	auc_inf_nafld_no_fibrosis_apixaban	NA	NA	725.0	290.0	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	cmax	apixaban	plasma	LC MS/MS	cmax_nafld_no_fibrosis_apixaban	NA	NA	82.0	40.0	NA	NA	NA	NA	ng/ml	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	tmax	apixaban	plasma	LC MS/MS	tmax_nafld_no_fibrosis_apixaban	NA	NA	2.6	1.1	NA	NA	NA	NA	hr	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	thalf	apixaban	plasma	LC MS/MS	thalf_nafld_no_fibrosis_apixaban	NA	NA	4.5	0.5	NA	NA	NA	NA	hr	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	cumulative amount	apixaban	plasma	LC MS/MS	cumulative amount_nafld_no_fibrosis_apixaban	0.0	hr	0.0	NA	NA	NA	NA	NA	ug	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	cumulative amount	apixaban	plasma	LC MS/MS	cumulative amount_nafld_no_fibrosis_apixaban	12.0	hr	527.0	176.0	NA	NA	NA	NA	ug	NA
Tirona2018	NA	nafld_no_fibrosis	11.0	API2.5, ROS5	clearance_renal	apixaban	plasma	LC MS/MS	clearance_renal_nafld_no_fibrosis_apixaban	NA	NA	17.3	8.5	NA	NA	NA	NA	ml/min	NA
Tirona2018	NA	nafld_fibrosis	11.0	API2.5, ROS5	auc_end	apixaban	plasma	LC MS/MS	auc_end_nafld_fibrosis_apixaban	12.0	hr	511.0	304.0	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	nafld_fibrosis	11.0	API2.5, ROS5	auc_inf	apixaban	plasma	LC MS/MS	auc_inf_nafld_fibrosis_apixaban	NA	NA	705.0	417.0	NA	NA	NA	NA	ng*hr/ml	NA
Tirona2018	NA	nafld_fibrosis	11.0	API2.5, ROS5	cmax	apixaban	plasma	LC MS/MS	cmax_nafld_fibrosis_apixaban	NA	NA	74.0	49.0	NA	NA	NA	NA	ng/ml	NA
Tirona2018	NA	nafld_fibrosis	11.0	API2.5, ROS5	tmax	apixaban	plasma	LC MS/MS	tmax_nafld_fibrosis_apixaban	NA	NA	2.8	1.4	NA	NA	NA	NA	hr	NA
Tirona2018	NA	nafld_fibrosis	11.0	API2.5, ROS5	thalf	apixaban	plasma	LC MS/MS	thalf_nafld_fibrosis_apixaban	NA	NA	5.5	1.4	NA	NA	NA	NA	hr	NA
Tirona2018	NA	nafld_fibrosis	11.0	API2.5, ROS5	cumulative amount	apixaban	plasma	LC MS/MS	cumulative amount_nafld_fibrosis_apixaban	0.0	hr	0.0	NA	NA	NA	NA	NA	ug	NA
Tirona2018	NA	nafld_fibrosis	11.0	API2.5, ROS5	cumulative amount	apixaban	plasma	LC MS/MS	cumulative amount_nafld_fibrosis_apixaban	12.0	hr	562.0	194.0	NA	NA	NA	NA	ug	NA
Tirona2018	NA	nafld_fibrosis	11.0	API2.5, ROS5	clearance_renal	apixaban	plasma	LC MS/MS	clearance_renal_nafld_fibrosis_apixaban	NA	NA	21.8	9.4	NA	NA	NA	NA	ml/min	NA
