study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Frost2018	caucasian	12.0	API2.5	tmax	apixaban	plasma	LC MS/MS	tmax_caucasian_API2.5	NA	NA	3.5	2.5	4.0	NA	NA	NA	hr	NA
Frost2018	caucasian	12.0	API2.5	thalf	apixaban	plasma	LC MS/MS	thalf_caucasian_API2.5	NA	NA	8.87	NA	NA	2.95	NA	NA	hr	NA
Frost2018	caucasian	12.0	API2.5	clearance_renal	apixaban	urine	LC MS/MS	clearance_renal_caucasian_API2.5	NA	NA	0.9	NA	NA	0.21	NA	NA	L/hr	NA
Frost2018	caucasian	12.0	API2.5	cumulative amount	apixaban	urine	calculated	cumulative amount_caucasian_API2.5	72.0	hr	0.40185	NA	NA	0.09473185960910932	NA	NA	mg	time assumed
Frost2018	japanese	12.0	API10	cmax	apixaban	plasma	LC MS/MS	cmax_japanese_API10	NA	NA	175.7	NA	NA	22.0	NA	NA	ng/ml	NA
Frost2018	japanese	12.0	API10	auc_inf	apixaban	plasma	LC MS/MS	auc_inf_japanese_API10	NA	NA	1628.0	NA	NA	18.0	NA	NA	ng/ml*hr	NA
Frost2018	japanese	12.0	API10	auc_end	apixaban	plasma	LC MS/MS	auc_end_japanese_API10	48.0	hr	1607.0	NA	NA	18.0	NA	NA	ng/ml*hr	NA
Frost2018	japanese	12.0	API10	tmax	apixaban	plasma	LC MS/MS	tmax_japanese_API10	NA	NA	3.0	1.0	6.0	NA	NA	NA	hr	NA
Frost2018	japanese	12.0	API10	thalf	apixaban	plasma	LC MS/MS	thalf_japanese_API10	NA	NA	8.11	NA	NA	4.18	NA	NA	hr	NA
Frost2018	japanese	12.0	API10	clearance_renal	apixaban	urine	LC MS/MS	clearance_renal_japanese_API10	NA	NA	1.15	NA	NA	0.33	NA	NA	L/hr	NA
Frost2018	japanese	12.0	API10	cumulative amount	apixaban	urine	calculated	cumulative amount_japanese_API10	72.0	hr	1.8722	NA	NA	0.537638640352421	NA	NA	mg	time assumed
Frost2018	caucasian	12.0	API10	cmax	apixaban	plasma	LC MS/MS	cmax_caucasian_API10	NA	NA	207.8	NA	NA	44.0	NA	NA	ng/ml	NA
Frost2018	caucasian	12.0	API10	auc_inf	apixaban	plasma	LC MS/MS	auc_inf_caucasian_API10	NA	NA	1946.0	NA	NA	15.0	NA	NA	ng/ml*hr	NA
Frost2018	caucasian	12.0	API10	auc_end	apixaban	plasma	LC MS/MS	auc_end_caucasian_API10	72.0	hr	1896.0	NA	NA	15.0	NA	NA	ng/ml*hr	NA
Frost2018	caucasian	12.0	API10	tmax	apixaban	plasma	LC MS/MS	tmax_caucasian_API10	NA	NA	3.0	2.5	4.0	NA	NA	NA	hr	NA
Frost2018	caucasian	12.0	API10	thalf	apixaban	plasma	LC MS/MS	thalf_caucasian_API10	NA	NA	13.39	NA	NA	6.15	NA	NA	hr	NA
Frost2018	caucasian	12.0	API10	clearance_renal	apixaban	urine	LC MS/MS	clearance_renal_caucasian_API10	NA	NA	0.8	NA	NA	0.26	NA	NA	L/hr	NA
Frost2018	caucasian	12.0	API10	cumulative amount	apixaban	urine	calculated	cumulative amount_caucasian_API10	72.0	hr	1.5568	NA	NA	0.5061022837332391	NA	NA	mg	time assumed
Frost2018	japanese	12.0	API25	cmax	apixaban	plasma	LC MS/MS	cmax_japanese_API25	NA	NA	368.8	NA	NA	16.0	NA	NA	ng/ml	NA
Frost2018	japanese	12.0	API25	auc_inf	apixaban	plasma	LC MS/MS	auc_inf_japanese_API25	NA	NA	3414.0	NA	NA	15.0	NA	NA	ng/ml*hr	NA
Frost2018	japanese	12.0	API25	auc_end	apixaban	plasma	LC MS/MS	auc_end_japanese_API25	72.0	hr	3374.0	NA	NA	16.0	NA	NA	ng/ml*hr	NA
Frost2018	japanese	12.0	API25	tmax	apixaban	plasma	LC MS/MS	tmax_japanese_API25	NA	NA	3.0	2.0	4.0	NA	NA	NA	hr	NA
Frost2018	japanese	12.0	API25	thalf	apixaban	plasma	LC MS/MS	thalf_japanese_API25	NA	NA	8.25	NA	NA	2.47	NA	NA	hr	NA
Frost2018	japanese	12.0	API25	clearance_renal	apixaban	urine	LC MS/MS	clearance_renal_japanese_API25	NA	NA	1.04	NA	NA	0.29	NA	NA	L/hr	NA
Frost2018	japanese	12.0	API25	cumulative amount	apixaban	urine	calculated	cumulative amount_japanese_API25	72.0	hr	3.55056	NA	NA	0.9901828940150399	NA	NA	mg	time assumed
Frost2018	caucasian	12.0	API25	cmax	apixaban	plasma	LC MS/MS	cmax_caucasian_API25	NA	NA	345.2	NA	NA	18.0	NA	NA	ng/ml	NA
Frost2018	caucasian	12.0	API25	auc_inf	apixaban	plasma	LC MS/MS	auc_inf_caucasian_API25	NA	NA	3819.0	NA	NA	19.0	NA	NA	ng/ml*hr	NA
Frost2018	caucasian	12.0	API25	auc_end	apixaban	plasma	LC MS/MS	auc_end_caucasian_API25	72.0	hr	3747.0	NA	NA	18.0	NA	NA	ng/ml*hr	NA
Frost2018	caucasian	12.0	API25	tmax	apixaban	plasma	LC MS/MS	tmax_caucasian_API25	NA	NA	3.5	2.0	4.0	NA	NA	NA	hr	NA
Frost2018	caucasian	12.0	API25	thalf	apixaban	plasma	LC MS/MS	thalf_caucasian_API25	NA	NA	12.7	NA	NA	3.9	NA	NA	hr	NA
Frost2018	caucasian	12.0	API25	clearance_renal	apixaban	urine	LC MS/MS	clearance_renal_caucasian_API25	NA	NA	0.84	NA	NA	0.1	NA	NA	L/hr	NA
Frost2018	caucasian	12.0	API25	cumulative amount	apixaban	urine	calculated	cumulative amount_caucasian_API25	72.0	hr	3.20796	NA	NA	0.38223334705386447	NA	NA	mg	time assumed
Frost2018	japanese	12.0	API50	cmax	apixaban	plasma	LC MS/MS	cmax_japanese_API50	NA	NA	485.0	NA	NA	28.0	NA	NA	ng/ml	NA
Frost2018	japanese	12.0	API50	auc_inf	apixaban	plasma	LC MS/MS	auc_inf_japanese_API50	NA	NA	4743.0	NA	NA	34.0	NA	NA	ng/ml*hr	NA
Frost2018	japanese	12.0	API50	auc_end	apixaban	plasma	LC MS/MS	auc_end_japanese_API50	72.0	hr	4706.0	NA	NA	34.0	NA	NA	ng/ml*hr	NA
Frost2018	japanese	12.0	API50	tmax	apixaban	plasma	LC MS/MS	tmax_japanese_API50	NA	NA	4.0	1.5	6.0	NA	NA	NA	hr	NA
Frost2018	japanese	12.0	API50	thalf	apixaban	plasma	LC MS/MS	thalf_japanese_API50	NA	NA	8.47	NA	NA	1.71	NA	NA	hr	NA
Frost2018	japanese	12.0	API50	clearance_renal	apixaban	urine	LC MS/MS	clearance_renal_japanese_API50	NA	NA	1.05	NA	NA	0.29	NA	NA	L/hr	NA
Frost2018	japanese	12.0	API50	cumulative amount	apixaban	urine	calculated	cumulative amount_japanese_API50	72.0	hr	4.98015	NA	NA	1.3759332145493108	NA	NA	mg	NA
Frost2018	caucasian	12.0	API50	cmax	apixaban	plasma	LC MS/MS	cmax_caucasian_API50	NA	NA	494.3	NA	NA	23.0	NA	NA	ng/ml	NA
Frost2018	caucasian	10.0	API50	auc_inf	apixaban	plasma	LC MS/MS	auc_inf_caucasian_API50	NA	NA	6093.0	NA	NA	24.0	NA	NA	ng/ml*hr	NA
Frost2018	caucasian	12.0	API50	auc_end	apixaban	plasma	LC MS/MS	auc_end_caucasian_API50	72.0	hr	5991.0	NA	NA	22.0	NA	NA	ng/ml*hr	NA
Frost2018	caucasian	12.0	API50	tmax	apixaban	plasma	LC MS/MS	tmax_caucasian_API50	NA	NA	3.5	2.0	4.0	NA	NA	NA	hr	NA
Frost2018	caucasian	12.0	API50	thalf	apixaban	plasma	LC MS/MS	thalf_caucasian_API50	NA	NA	16.12	NA	NA	7.77	NA	NA	hr	NA
Frost2018	caucasian	12.0	API50	clearance_renal	apixaban	urine	LC MS/MS	clearance_renal_caucasian_API50	NA	NA	0.73	NA	NA	0.18	NA	NA	L/hr	NA
Frost2018	caucasian	12.0	API50	cumulative amount	apixaban	urine	calculated	cumulative amount_caucasian_API50	72.0	hr	4.44789	NA	NA	1.0968799287068753	NA	NA	mg	time assumed
