study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Frost2013a	API5x2	6.0	API5x2	tmax	apixaban	plasma	LC MS/MS	NA	NA	4.0	NA	NA	2.0	4.0	NA	NA	hr	NA
Frost2013a	API5x2	6.0	API5x2	thalf	apixaban	plasma	LC MS/MS	NA	NA	11.7	NA	NA	NA	NA	3.3	NA	hr	NA
Frost2013a	API10x2	6.0	API10x2	cmax	apixaban	plasma	LC MS/MS	12.0	hr	226.2	38.0	NA	NA	NA	85.956	NA	ng/ml	NA
Frost2013a	API10x2	6.0	API10x2	cmin	apixaban	plasma	LC MS/MS	NA	NA	72.7	27.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2013a	API10x2	6.0	API10x2	auc_end	apixaban	plasma	LC MS/MS	12.0	hr	1608.3	30.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Frost2013a	API10x2	6.0	API10x2	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	4.0	2.0	4.0	NA	NA	hr	NA
Frost2013a	API10x2	6.0	API10x2	cmax	apixaban	plasma	LC MS/MS	156.0	hr	329.8	45.0	NA	NA	NA	148.41	NA	ng/ml	NA
Frost2013a	API10x2	6.0	API10x2	cmin	apixaban	plasma	LC MS/MS	NA	NA	103.8	57.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2013a	API10x2	6.0	API10x2	auc_end	apixaban	plasma	LC MS/MS	156.0	hr	2424.9	47.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Frost2013a	API10x2	6.0	API10x2	tmax	apixaban	plasma	LC MS/MS	NA	NA	3.0	NA	NA	2.0	4.0	NA	NA	hr	NA
Frost2013a	API10x2	6.0	API10x2	thalf	apixaban	plasma	LC MS/MS	NA	NA	10.9	NA	NA	NA	NA	2.9	NA	hr	NA
Frost2013a	API25x2	6.0	API25x2	cmax	apixaban	plasma	LC MS/MS	12.0	hr	425.3	24.0	NA	NA	NA	102.072	NA	ng/ml	NA
Frost2013a	API25x2	6.0	API25x2	cmin	apixaban	plasma	LC MS/MS	NA	NA	129.0	33.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2013a	API25x2	6.0	API25x2	auc_end	apixaban	plasma	LC MS/MS	12.0	hr	3108.6	25.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Frost2013a	API25x2	6.0	API25x2	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	3.5	2.0	4.0	NA	NA	hr	NA
Frost2013a	API25x2	6.0	API25x2	cmax	apixaban	plasma	LC MS/MS	156.0	hr	716.6	21.0	NA	NA	NA	150.486	NA	ng/ml	NA
Frost2013a	API25x2	6.0	API25x2	cmin	apixaban	plasma	LC MS/MS	NA	NA	281.1	38.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2013a	API25x2	6.0	API25x2	auc_end	apixaban	plasma	LC MS/MS	156.0	hr	5850.3	16.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Frost2013a	API25x2	6.0	API25x2	tmax	apixaban	plasma	LC MS/MS	NA	NA	3.5	NA	NA	1.0	4.0	NA	NA	hr	NA
Frost2013a	API25x2	6.0	API25x2	thalf	apixaban	plasma	LC MS/MS	NA	NA	15.2	NA	NA	NA	NA	7.2	NA	hr	NA
Frost2013a	API10	6.0	API10	cmax	apixaban	plasma	LC MS/MS	24.0	hr	178.4	19.0	NA	NA	NA	33.896	NA	ng/ml	NA
Frost2013a	API10	6.0	API10	cmin	apixaban	plasma	LC MS/MS	NA	NA	14.5	27.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2013a	API10	6.0	API10	auc_end	apixaban	plasma	LC MS/MS	24.0	hr	1589.6	20.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Frost2013a	API10	6.0	API10	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	4.0	3.0	4.0	NA	NA	hr	NA
Frost2013a	API10	6.0	API10	cmax	apixaban	plasma	LC MS/MS	168.0	hr	201.4	15.0	NA	NA	NA	30.21	NA	ng/ml	NA
Frost2013a	API10	6.0	API10	cmin	apixaban	plasma	LC MS/MS	NA	NA	26.8	43.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2013a	API10	6.0	API10	auc_end	apixaban	plasma	LC MS/MS	168.0	hr	2015.7	16.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Frost2013a	API10	6.0	API10	tmax	apixaban	plasma	LC MS/MS	NA	NA	3.5	NA	NA	3.0	4.0	NA	NA	hr	NA
Frost2013a	API10	6.0	API10	thalf	apixaban	plasma	LC MS/MS	NA	NA	14.9	NA	NA	NA	NA	7.2	NA	hr	NA
Frost2013a	API25	6.0	API25	cmax	apixaban	plasma	LC MS/MS	24.0	hr	310.0	12.0	NA	NA	NA	37.2	NA	ng/ml	NA
Frost2013a	API25	6.0	API25	cmin	apixaban	plasma	LC MS/MS	NA	NA	36.5	31.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2013a	API25	6.0	API25	auc_end	apixaban	plasma	LC MS/MS	24.0	hr	2868.1	7.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Frost2013a	API25	6.0	API25	tmax	apixaban	plasma	LC MS/MS	NA	NA	NA	NA	4.0	2.0	6.0	NA	NA	hr	NA
Frost2013a	API25	6.0	API25	cmax	apixaban	plasma	LC MS/MS	168.0	hr	428.9	20.0	NA	NA	NA	85.78	NA	ng/ml	NA
Frost2013a	API25	6.0	API25	cmin	apixaban	plasma	LC MS/MS	NA	NA	55.3	35.0	NA	NA	NA	NA	NA	ng/ml	NA
Frost2013a	API25	6.0	API25	auc_end	apixaban	plasma	LC MS/MS	168.0	hr	4248.3	19.0	NA	NA	NA	NA	NA	ng*hr/ml	NA
Frost2013a	API25	6.0	API25	tmax	apixaban	plasma	LC MS/MS	NA	NA	3.0	NA	NA	2.0	4.0	NA	NA	hr	NA
Frost2013a	API25	6.0	API25	thalf	apixaban	plasma	LC MS/MS	NA	NA	15.3	NA	NA	NA	NA	4.3	NA	hr	NA
